from	to	Line Thickness	Line Color	Sequence (from)	Sequence (to)
Beaconsfield	Berwick	7.914092954	4.111939105	4	5
Beaconsfield	Officer	5.522578711	1.663932009	4	3
Berwick	Beaconsfield	7.62167916	3.94821994	5	4
Berwick	Dandenong	20.89330827	5.989456391	5	11
Berwick	Narre Warren	8.40653144	3.830418932	5	6
Berwick	Westall	36.53	9.335507317	5	16
Cardinia Road	Officer	5.54946027	1.804918291	2	3
Cardinia Road	Pakenham	10.42871064	6.684563993	2	1
Cranbourne	Merinda Park	6.236080402	1.112127638	8	9
Dandenong	Berwick	24.85852071	11.72808629	11	5
Dandenong	Hallam	13.2319697	8.943725325	11	7
Dandenong	Lynbrook	14.84854271	10.26488367	11	10
Dandenong	Pakenham	34.77288889	6.531247407	11	1
Dandenong	Yarraman	6.115357143	3.421967063	11	12
Hallam	Dandenong	13.67446247	8.848031136	7	11
Hallam	Narre Warren	7.033040685	2.688507852	7	6
Lynbrook	Dandenong	13.73537688	8.601084338	10	11
Lynbrook	Merinda Park	9.416130653	4.77040201	10	9
Merinda Park	Cranbourne	7.374371859	2.65935201	9	8
Merinda Park	Lynbrook	7.329849246	2.224321608	9	10
Narre Warren	Berwick	10.12740899	5.726828337	6	5
Narre Warren	Hallam	7.5236714	2.743073665	6	7
Noble Park	Sandown Park	4.945357143	1.736598611	13	14
Noble Park	Yarraman	4.003902439	1.405725	13	12
Officer	Beaconsfield	5.707361319	1.858543228	3	4
Officer	Cardinia Road	5.671169415	1.977724988	3	2
Pakenham	Cardinia Road	13.962009	10.08719618	1	2
Pakenham	Dandenong	36.94307692	7.879926923	1	11
Pakenham	Westall	47.62529412	7.450341176	1	16
Sandown Park	Noble Park	5.21597561	2.639356911	14	13
Sandown Park	Springvale	3.859404762	1.011332738	14	15
Springvale	Sandown Park	2.647439024	-0.073286179	15	14
Springvale	Westall	6.133095238	3.159074008	15	16
Westall	Berwick	35.19888889	8.690380093	16	5
Westall	Hallam	26.808	9.658216667	16	7
Westall	Pakenham	40.95533333	0.3095	16	1
Westall	Springvale	9.479512195	7.010069919	16	15
Yarraman	Dandenong	9.85	7.159031707	12	11
Yarraman	Noble Park	4.476785714	1.795025198	12	13
